
Reading setup file setup.txt

File name prefix: Occlusion2
First file number: 1
Last file number: 890
Initial template corners (top left y x, bottom right y x): 57 119 157 193 
Search margin (pixels): 7
Number of bins: 16
Metric used for comparing histograms (1 = chi square, 2 = EMD, 3 = KS (best choice)) : 3

Frame size: height = 240 width = 320
Initializing tracker ... 


Tracking results - the format is as follows: 

handled_frame_number   center_y   center_x   score   topleft_y   topleft_x   height   width 


2 107 156 0 57 119 101 75
3 107 156 0 57 119 101 75
4 107 156 0 57 119 101 75
5 107 156 0 57 119 101 75
6 106 158 0.00680828 56 121 101 75
7 107 158 0.00857843 57 121 101 75
8 107 157 0.0110565 57 120 101 75
9 105 161 0.0113636 55 124 101 75
10 104 161 0.0113636 54 124 101 75
11 104 161 0.0132064 54 124 101 75
12 104 161 0.01336 54 124 101 75
13 103 162 0.0132081 53 125 101 75
14 103 162 0.0148956 53 125 101 75
15 103 163 0.0179668 53 126 101 75
16 99 159 0.0215142 49 122 101 75
17 99 159 0.0215142 49 122 101 75
18 98 160 0.0249183 48 123 101 75
19 98 160 0.0243736 48 123 101 75
20 99 161 0.0261438 49 124 101 75
21 102 168 0.0248771 52 131 101 75
22 102 167 0.0235566 52 130 101 75
23 102 167 0.0219227 52 130 101 75
24 101 167 0.0251906 51 130 101 75
25 101 166 0.0247236 51 129 101 75
26 100 164 0.0248771 50 127 101 75
27 99 164 0.0227397 49 127 101 75
28 99 164 0.023829 49 127 101 75
29 98 162 0.0242629 48 125 101 75
30 99 161 0.0228808 49 124 101 75
31 98 154 0.0232843 48 117 101 75
32 100 157 0.020561 50 120 101 75
33 101 156 0.0190632 51 119 101 75
34 101 156 0.0141278 51 119 101 75
35 101 156 0.0153867 51 119 101 75
36 102 155 0.0148956 52 118 101 75
37 102 155 0.0153867 52 118 101 75
38 103 154 0.0151144 53 117 101 75
39 104 153 0.0160675 54 116 101 75
40 104 152 0.0166122 54 115 101 75
41 104 148 0.0141278 54 111 101 75
42 102 150 0.0129357 52 113 101 75
43 102 149 0.0128993 52 112 101 75
44 102 148 0.0108932 52 111 101 75
45 102 147 0.0114379 52 110 101 75
46 102 147 0.0118464 52 110 101 75
47 103 147 0.0138206 53 110 101 75
48 102 149 0.0153867 52 112 101 75
49 102 149 0.0153867 52 112 101 75
50 103 148 0.0163399 53 111 101 75
51 103 147 0.0151144 53 110 101 75
52 103 147 0.0151144 53 110 101 75
53 102 146 0.0142974 52 109 101 75
54 102 144 0.0138889 52 107 101 75
55 101 143 0.0152027 51 106 101 75
56 101 142 0.0141612 51 105 101 75
57 101 143 0.0152505 51 106 101 75
58 101 145 0.015659 51 108 101 75
59 100 146 0.0147059 50 109 101 75
60 100 147 0.0170207 50 110 101 75
61 99 148 0.0178133 49 111 101 75
62 100 148 0.0173526 50 111 101 75
63 100 148 0.0162037 50 111 101 75
64 99 149 0.0163399 49 112 101 75
65 99 149 0.0168845 49 112 101 75
66 97 149 0.016476 47 112 101 75
67 96 149 0.0138206 46 112 101 75
68 97 149 0.0127457 47 112 101 75
69 97 149 0.0141612 47 112 101 75
70 98 152 0.0161241 48 115 101 75
71 97 155 0.0183824 47 118 101 75
72 96 158 0.0200163 46 121 101 75
73 94 162 0.0238022 44 125 101 75
74 94 169 0.0274877 44 132 101 75
75 92 166 0.0288698 42 129 101 75
76 92 166 0.0300926 42 129 101 75
77 92 171 0.0304054 42 134 101 75
78 92 169 0.0291769 42 132 101 75
79 94 170 0.0282555 44 133 101 75
80 94 172 0.0274877 44 135 101 75
81 96 174 0.0273342 46 137 101 75
82 97 174 0.025463 47 137 101 75
83 97 173 0.0234205 47 136 101 75
84 98 173 0.0227273 48 136 101 75
85 99 175 0.0242629 49 138 101 75
86 99 174 0.0244165 49 137 101 75
87 99 173 0.0234951 49 136 101 75
88 99 171 0.0266885 49 134 101 75
89 100 171 0.0260076 50 134 101 75
90 101 171 0.0290033 51 134 101 75
91 101 168 0.0280501 51 131 101 75
92 101 169 0.0290033 51 132 101 75
93 101 169 0.0284586 51 132 101 75
94 101 167 0.027027 51 130 101 75
95 99 160 0.0277948 49 123 101 75
96 101 166 0.0276413 51 129 101 75
97 101 168 0.0251906 51 131 101 75
98 102 167 0.0227273 52 130 101 75
99 101 167 0.023012 51 130 101 75
100 102 167 0.0243736 52 130 101 75
101 102 166 0.0233415 52 129 101 75
102 101 166 0.0226035 51 129 101 75
103 101 166 0.022113 51 129 101 75
104 101 162 0.0208845 51 125 101 75
105 98 163 0.0228758 48 126 101 75
106 100 162 0.0212418 50 125 101 75
107 100 162 0.0205774 50 125 101 75
108 99 163 0.0208333 49 126 101 75
109 99 163 0.0216503 49 126 101 75
110 99 165 0.022195 49 128 101 75
111 99 165 0.0214988 49 128 101 75
112 98 167 0.023829 48 130 101 75
113 98 168 0.0231481 48 131 101 75
114 99 169 0.0239558 49 132 101 75
115 98 168 0.0251843 48 131 101 75
